institution_name,state,city,institution_type,public_private,estimated_alumni_base,enrollment_size,research_focus,advancement_office_title,estimated_annual_advancement_budget,key_metrics_opportunity,beachhead_segment
Texas A&M University,TX,College Station,R1,Public,62000,70000,Engineering - agriculture - medicine - sciences,VP for Advancement,600000,Engineering - agriculture - tech - leadership,Research Universities (R1/R2)
University of Houston,TX,Houston,R1,Public,48000,46000,Engineering - medicine - business - sciences,VP for Advancement,500000,Energy - tech - medical research - leadership,Research Universities (R1/R2)
Arizona State University,AZ,Tempe,R1,Public,62000,70000,All research disciplines,VP for Advancement,700000,Tech - engineering - business - leadership,Research Universities (R1/R2)
Virginia Commonwealth University,VA,Richmond,R1,Public,38000,31000,Medicine - engineering - sciences - business,VP for Advancement,450000,Medical innovations - tech - leadership,Research Universities (R1/R2)
Temple University,PA,Philadelphia,R1,Public,32000,37000,Medicine - engineering - business - sciences,VP for Institutional Advancement,400000,Medical research - tech - leadership,Research Universities (R1/R2)
University of Nevada Las Vegas,NV,Las Vegas,R1,Public,32000,31000,Engineering - sciences - business - hospitality,VP for Advancement,400000,Hospitality - tech - leadership,Research Universities (R1/R2)
University of New Mexico,NM,Albuquerque,R1,Public,32000,26000,Engineering - sciences - medicine - business,VP for Advancement,350000,Energy - tech - medical research - leadership,Research Universities (R1/R2)
University of Wyoming,WY,Laramie,R1,Public,22000,12000,Engineering - sciences - agriculture - business,VP for Development,300000,Energy - agriculture - tech - leadership,Research Universities (R1/R2)
University of Kansas,KS,Lawrence,R1,Public,32000,27000,Engineering - medicine - sciences - business,VP for Development,350000,Medical research - tech - leadership,Research Universities (R1/R2)
Iowa State University,IA,Ames,R1,Public,42000,36000,Engineering - agriculture - sciences - business,VP for Advancement,400000,Agriculture - engineering - tech - leadership,Research Universities (R1/R2)
University of Iowa,IA,Iowa City,R1,Public,36000,32000,Medicine - engineering - sciences - business,VP for Development,400000,Medical research - tech - leadership,Research Universities (R1/R2)
University of Missouri,MO,Columbia,R1,Public,42000,35000,Engineering - medicine - business - sciences,VP for Development,450000,Engineering - medical research - tech - leadership,Research Universities (R1/R2)
University of Nebraska Lincoln,NE,Lincoln,R1,Public,38000,25000,Engineering - agriculture - sciences - business,VP for Development,350000,Agriculture - tech - leadership,Research Universities (R1/R2)
Oregon State University,OR,Corvallis,R1,Public,38000,33000,Engineering - agriculture - sciences - business,VP for Advancement,400000,Agriculture - engineering - tech - leadership,Research Universities (R1/R2)
University of Oregon,OR,Eugene,R1,Public,32000,23000,Business - engineering - sciences - education,VP for Advancement,350000,Tech - business - leadership,Research Universities (R1/R2)
Washington State University,WA,Pullman,R1,Public,38000,31000,Engineering - agriculture - sciences - business,VP for Development,400000,Agriculture - tech - engineering - leadership,Research Universities (R1/R2)
University of Oklahoma,OK,Norman,R1,Public,38000,28000,Engineering - medicine - business - sciences,VP for Development,400000,Energy - medical research - leadership,Research Universities (R1/R2)
University of Arkansas,AR,Fayetteville,R1,Public,32000,28000,Engineering - agriculture - business - sciences,VP for Development,350000,Agriculture - engineering - leadership,Research Universities (R1/R2)
Auburn University,AL,Auburn,R1,Public,38000,30000,Engineering - agriculture - sciences - business,VP for Development,400000,Engineering - agriculture - tech - leadership,Research Universities (R1/R2)
University of Alabama,AL,Tuscaloosa,R1,Public,42000,38000,Engineering - medicine - business - sciences,VP for Development,450000,Engineering - medical research - leadership,Research Universities (R1/R2)
University of South Carolina,SC,Columbia,R1,Public,38000,34000,Engineering - medicine - business - sciences,VP for Development,400000,Medical research - tech - leadership,Research Universities (R1/R2)
Clemson University,SC,Clemson,R1,Public,36000,28000,Engineering - agriculture - sciences - business,VP for Advancement,350000,Engineering - agriculture - tech - leadership,Research Universities (R1/R2)
Georgia Institute of Technology,GA,Atlanta,R1,Public,48000,28000,Engineering - sciences - management - architecture,VP for Advancement,700000,Tech startups - engineering - capital,Research Universities (R1/R2)
University of Kentucky,KY,Lexington,R1,Public,36000,30000,Medicine - engineering - sciences - business,VP for Advancement,350000,Medical research - tech - leadership,Research Universities (R1/R2)
University of Tennessee Knoxville,TN,Knoxville,R1,Public,38000,30000,Engineering - medicine - sciences - business,VP for Advancement,400000,Medical research - tech - leadership,Research Universities (R1/R2)
Rutgers University,NJ,New Brunswick,R1,Public,52000,50000,All research disciplines,VP for University Relations,650000,Tech - medical research - leadership,Research Universities (R1/R2)
University of Connecticut,CT,Storrs,R1,Public,38000,31000,Engineering - medicine - business - sciences,VP for Development,400000,Tech - medical research - leadership,Research Universities (R1/R2)
University of Massachusetts Amherst,MA,Amherst,R1,Public,36000,31000,Engineering - sciences - business - education,VP for Development,350000,Tech - leadership,Research Universities (R1/R2)
Boston University,MA,Boston,R1,Private Not-for-Profit,34000,36000,Engineering - medicine - business - sciences,VP for Development,700000,Medical research - tech - leadership,Research Universities (R1/R2)
Northeastern University,MA,Boston,R1,Private Not-for-Profit,32000,34000,Engineering - medicine - business - technology,VP for Institutional Advancement,600000,Tech entrepreneurs - companies - capital,Research Universities (R1/R2)
University of Delaware,DE,Newark,R1,Public,28000,23000,Engineering - sciences - business - education,VP for Development,300000,Tech - leadership,Research Universities (R1/R2)
Carnegie Mellon University,PA,Pittsburgh,R1,Private Not-for-Profit,26000,15000,Engineering - computer science - business - drama,VP for Advancement,900000,Tech startups - capital - companies,Research Universities (R1/R2)
University of Pennsylvania,PA,Philadelphia,R1,Private Not-for-Profit,38000,25000,Medicine - engineering - law - business,VP for Development,1300000,Entrepreneurs - capital - leadership,Research Universities (R1/R2)
George Washington University,DC,Washington,R1,Private Not-for-Profit,26000,27000,Medicine - engineering - business - law,VP for Institutional Advancement,600000,Leadership - entrepreneurs - government,Research Universities (R1/R2)
Georgetown University,DC,Washington,R1,Private Not-for-Profit,28000,18000,Medicine - law - business - sciences,VP for Advancement,700000,Legal leaders - entrepreneurs - government,Research Universities (R1/R2)
Howard University,DC,Washington,R1,Private Not-for-Profit,24000,10500,Medicine - law - engineering - sciences,VP for Advancement,300000,Medical leaders - entrepreneurs - leadership,Research Universities (R1/R2)
American University,DC,Washington,R1,Private Not-for-Profit,20000,13000,Business - law - engineering - sciences,VP for Development,400000,Government leaders - entrepreneurs,Research Universities (R1/R2)
University of Miami,FL,Coral Gables,R1,Private Not-for-Profit,24000,18000,Medicine - law - business - sciences,VP for Development,500000,Medical research - leadership - capital,Research Universities (R1/R2)
Florida International University,FL,Miami,R1,Public,36000,58000,Engineering - medicine - business - sciences,VP for Advancement,400000,Tech - leadership,Research Universities (R1/R2)
University of South Florida,FL,Tampa,R1,Public,40000,47000,Medicine - engineering - business - sciences,VP for Advancement,450000,Medical research - tech - leadership,Research Universities (R1/R2)
Georgia State University,GA,Atlanta,R1,Public,38000,53000,Business - engineering - sciences - education,VP for Advancement,400000,Business leaders - tech - leadership,Research Universities (R1/R2)
University of Tennessee Health Science Center,TN,Memphis,R1,Public,18000,3500,Medicine - health sciences,VP for Development,250000,Medical innovations - leadership,Research Universities (R1/R2)
University of Utah,UT,Salt Lake City,R1,Public,38000,33000,Medicine - engineering - sciences - business,VP for Development,400000,Medical research - tech - leadership,Research Universities (R1/R2)
University of Hawaii Manoa,HI,Honolulu,R1,Public,28000,20000,Sciences - engineering - agriculture,VP for Research and Development,350000,Research - tech - leadership,Research Universities (R1/R2)
University of Idaho,ID,Moscow,R1,Public,22000,12000,Engineering - sciences - business - agriculture,VP for Development,250000,Agriculture - tech - leadership,Research Universities (R1/R2)
Montana State University,MT,Bozeman,R1,Public,22000,16000,Engineering - agriculture - sciences,VP for Development,250000,Agriculture - engineering - tech,Research Universities (R1/R2)
University of Montana,MT,Missoula,R1,Public,18000,11000,Sciences - business - education - engineering,VP for Development,200000,Leadership - tech,Research Universities (R1/R2)
University of South Dakota,SD,Vermillion,R1,Public,18000,10000,Medicine - engineering - sciences,VP for Development,180000,Medical research - leadership,Research Universities (R1/R2)
South Dakota State University,SD,Brookings,R1,Public,20000,12000,Engineering - agriculture - sciences - business,VP for Development,200000,Agriculture - tech - leadership,Research Universities (R1/R2)
University of North Dakota,ND,Grand Forks,R1,Public,18000,11000,Engineering - sciences - medicine - business,VP for Development,180000,Medical research - tech - leadership,Research Universities (R1/R2)
North Dakota State University,ND,Fargo,R1,Public,20000,14000,Engineering - agriculture - sciences - business,VP for Development,200000,Agriculture - engineering - tech,Research Universities (R1/R2)
Colorado State University,CO,Fort Collins,R1,Public,36000,33000,Agriculture - engineering - sciences - veterinary,VP for Development,400000,Agriculture - tech - veterinary medicine,Research Universities (R1/R2)
University of Utah,UT,Salt Lake City,R1,Public,38000,33000,Medicine - engineering - sciences - business,VP for Development,400000,Medical research - tech - leadership,Research Universities (R1/R2)
Brigham Young University,UT,Provo,R1,Private Not-for-Profit,32000,33000,Engineering - sciences - business - law,VP for Development,500000,Tech entrepreneurs - companies - capital,Research Universities (R1/R2)
University of Nevada Reno,NV,Reno,R1,Public,22000,20000,Engineering - sciences - business,VP for Development,250000,Tech - leadership,Research Universities (R1/R2)
New Mexico State University,NM,Las Cruces,R1,Public,22000,15000,Agriculture - engineering - sciences - business,VP for Development,250000,Agriculture - tech - leadership,Research Universities (R1/R2)
University of Dubuque,IA,Dubuque,R2,Private Not-for-Profit,10000,2500,Business - education - liberal arts,Development Director,150000,Leadership - business professionals,Research Universities (R1/R2)
Auburn University at Montgomery,AL,Montgomery,R2,Public,12000,5000,Business - engineering - sciences - education,Director of Development,200000,Business leaders - tech,Research Universities (R1/R2)
University of Idaho,ID,Moscow,R1,Public,22000,12000,Engineering - sciences - business - agriculture,VP for Development,250000,Agriculture - tech - leadership,Research Universities (R1/R2)
Amherst College,MA,Amherst,Baccalaureate,Private Not-for-Profit,18000,1850,Liberal arts,Director of Development,500000,Leadership - entrepreneurs - graduate degrees,Liberal Arts Colleges
Williams College,MA,Williamstown,Baccalaureate,Private Not-for-Profit,16000,2000,Liberal arts,Director of Development,450000,Leadership - entrepreneurs - capital,Liberal Arts Colleges
Swarthmore College,PA,Swarthmore,Baccalaureate,Private Not-for-Profit,14000,1600,Liberal arts - engineering,Director of Development,400000,Entrepreneurs - leadership - companies,Liberal Arts Colleges
Wellesley College,MA,Wellesley,Baccalaureate,Private Not-for-Profit,12000,2300,Liberal arts,Director of Development,350000,Women leaders - entrepreneurs,Liberal Arts Colleges
Middlebury College,VT,Middlebury,Baccalaureate,Private Not-for-Profit,14000,2550,Liberal arts - environmental,Director of Development,400000,Environmental leaders - entrepreneurs,Liberal Arts Colleges
Dartmouth College,NH,Hanover,Baccalaureate,Private Not-for-Profit,20000,6800,Liberal arts - engineering - professional,VP for Development,900000,Tech entrepreneurs - leadership - capital,Liberal Arts Colleges
Bowdoin College,ME,Brunswick,Baccalaureate,Private Not-for-Profit,12000,1800,Liberal arts,Director of Development,350000,Leadership - entrepreneurs,Liberal Arts Colleges
Colby College,ME,Waterville,Baccalaureate,Private Not-for-Profit,12000,1850,Liberal arts,Director of Development,350000,Leadership - entrepreneurs,Liberal Arts Colleges
Colgate University,NY,Hamilton,Baccalaureate,Private Not-for-Profit,14000,2900,Liberal arts,Director of Development,400000,Leadership - entrepreneurs - capital,Liberal Arts Colleges
Hamilton College,NY,Clinton,Baccalaureate,Private Not-for-Profit,12000,1850,Liberal arts - engineering,Director of Development,350000,Engineers - entrepreneurs,Liberal Arts Colleges
Carleton College,MN,Northfield,Baccalaureate,Private Not-for-Profit,12000,2050,Liberal arts - sciences,Director of Development,350000,Scientists - leaders - entrepreneurs,Liberal Arts Colleges
Oberlin College,OH,Oberlin,Baccalaureate,Private Not-for-Profit,12000,2800,Liberal arts - conservatory,Director of Development,350000,Arts leaders - entrepreneurs - musicians,Liberal Arts Colleges
Wesleyan University,CT,Middletown,Baccalaureate,Private Not-for-Profit,14000,2800,Liberal arts - sciences,Director of Development,400000,Scientists - entrepreneurs - leaders,Liberal Arts Colleges
Vassar College,NY,Poughkeepsie,Baccalaureate,Private Not-for-Profit,14000,2400,Liberal arts - sciences,Director of Development,400000,Leaders - artists - entrepreneurs,Liberal Arts Colleges
Barnard College,NY,New York,Baccalaureate,Private Not-for-Profit,12000,2850,Liberal arts,Director of Development,400000,Women leaders - entrepreneurs - capital,Liberal Arts Colleges
Smith College,MA,Northampton,Baccalaureate,Private Not-for-Profit,12000,2500,Liberal arts,Director of Development,350000,Women leaders - entrepreneurs,Liberal Arts Colleges
Mount Holyoke College,MA,South Hadley,Baccalaureate,Private Not-for-Profit,11000,2200,Liberal arts,Director of Development,300000,Women leaders - entrepreneurs,Liberal Arts Colleges
Bryn Mawr College,PA,Bryn Mawr,Baccalaureate,Private Not-for-Profit,11000,1700,Liberal arts,Director of Development,300000,Women leaders - entrepreneurs,Liberal Arts Colleges
Haverford College,PA,Haverford,Baccalaureate,Private Not-for-Profit,10000,1300,Liberal arts - sciences,Director of Development,300000,Scientists - entrepreneurs,Liberal Arts Colleges
Grinnell College,IA,Grinnell,Baccalaureate,Private Not-for-Profit,10000,1700,Liberal arts,Director of Development,300000,Leaders - entrepreneurs,Liberal Arts Colleges
Kenyon College,OH,Gambier,Baccalaureate,Private Not-for-Profit,10000,1700,Liberal arts,Director of Development,300000,Leaders - artists,Liberal Arts Colleges
Whitman College,WA,Walla Walla,Baccalaureate,Private Not-for-Profit,10000,1450,Liberal arts,Director of Development,300000,Leaders - entrepreneurs,Liberal Arts Colleges
Pomona College,CA,Claremont,Baccalaureate,Private Not-for-Profit,12000,1600,Liberal arts,Director of Development,400000,Tech leaders - entrepreneurs - capital,Liberal Arts Colleges
Harvey Mudd College,CA,Claremont,Baccalaureate,Private Not-for-Profit,8000,850,Sciences - engineering,Director of Development,300000,Tech entrepreneurs - capital,Liberal Arts Colleges
Colorado College,CO,Colorado Springs,Baccalaureate,Private Not-for-Profit,10000,2000,Liberal arts,Director of Development,300000,Leaders - entrepreneurs,Liberal Arts Colleges
Macalester College,MN,St Paul,Baccalaureate,Private Not-for-Profit,10000,2100,Liberal arts,Director of Development,300000,Global leaders - entrepreneurs,Liberal Arts Colleges
Reed College,OR,Portland,Baccalaureate,Private Not-for-Profit,9000,1450,Liberal arts,Director of Development,250000,Artists - leaders,Liberal Arts Colleges
Swarthmore College,PA,Swarthmore,Baccalaureate,Private Not-for-Profit,14000,1600,Liberal arts - engineering,Director of Development,400000,Entrepreneurs - leadership - companies,Liberal Arts Colleges
Scripps College,CA,Claremont,Baccalaureate,Private Not-for-Profit,8000,1050,Liberal arts,Director of Development,250000,Women leaders - entrepreneurs,Liberal Arts Colleges
Union College,NY,Schenectady,Baccalaureate,Private Not-for-Profit,10000,2200,Liberal arts - engineering,Director of Development,300000,Engineers - leaders,Liberal Arts Colleges
Dickinson College,PA,Carlisle,Baccalaureate,Private Not-for-Profit,10000,2400,Liberal arts,Director of Development,300000,Leaders - entrepreneurs,Liberal Arts Colleges
Lafayette College,PA,Easton,Baccalaureate,Private Not-for-Profit,11000,2500,Liberal arts - engineering,Director of Development,350000,Engineers - entrepreneurs - leaders,Liberal Arts Colleges
Bucknell University,PA,Lewisburg,Baccalaureate,Private Not-for-Profit,12000,3600,Liberal arts - engineering,Director of Development,350000,Engineers - entrepreneurs - leaders,Liberal Arts Colleges
Lehigh University,PA,Bethlehem,Baccalaureate,Private Not-for-Profit,12000,7000,Liberal arts - engineering - business,Director of Development,400000,Engineers - business leaders - entrepreneurs,Liberal Arts Colleges
Trinity College,CT,Hartford,Baccalaureate,Private Not-for-Profit,10000,2200,Liberal arts,Director of Development,300000,Leaders - entrepreneurs,Liberal Arts Colleges
Connecticut College,CT,New London,Baccalaureate,Private Not-for-Profit,9000,1700,Liberal arts,Director of Development,250000,Leaders - entrepreneurs,Liberal Arts Colleges
Gettysburg College,PA,Gettysburg,Baccalaureate,Private Not-for-Profit,9000,1900,Liberal arts,Director of Development,250000,Leaders - entrepreneurs,Liberal Arts Colleges
Skidmore College,NY,Saratoga Springs,Baccalaureate,Private Not-for-Profit,10000,2600,Liberal arts - business,Director of Development,300000,Business leaders - entrepreneurs,Liberal Arts Colleges
Ripon College,WI,Ripon,Baccalaureate,Private Not-for-Profit,7000,900,Liberal arts,Director of Development,150000,Leaders - entrepreneurs,Liberal Arts Colleges
Allegheny College,PA,Meadville,Baccalaureate,Private Not-for-Profit,8000,1800,Liberal arts,Director of Development,200000,Leaders - entrepreneurs,Liberal Arts Colleges
College of Wooster,OH,Wooster,Baccalaureate,Private Not-for-Profit,9000,1900,Liberal arts,Director of Development,250000,Leaders - entrepreneurs,Liberal Arts Colleges
DePauw University,IN,Greencastle,Baccalaureate,Private Not-for-Profit,9000,2100,Liberal arts,Director of Development,250000,Business leaders - entrepreneurs,Liberal Arts Colleges
Austin College,TX,Sherman,Baccalaureate,Private Not-for-Profit,7000,1300,Liberal arts,Director of Development,150000,Leaders - entrepreneurs,Liberal Arts Colleges
Trinity University,TX,San Antonio,Baccalaureate,Private Not-for-Profit,9000,2500,Liberal arts - engineering,Director of Development,250000,Engineers - leaders - entrepreneurs,Liberal Arts Colleges
Southern Methodist University,TX,Dallas,Baccalaureate,Private Not-for-Profit,8000,6500,Liberal arts - engineering - business,Development Director,300000,Business leaders - engineers,Liberal Arts Colleges
Tulane University,LA,New Orleans,Baccalaureate,Private Not-for-Profit,12000,8500,Liberal arts - engineering - business,Director of Development,350000,Business leaders - entrepreneurs - capital,Liberal Arts Colleges
Furman University,SC,Greenville,Baccalaureate,Private Not-for-Profit,8000,2700,Liberal arts,Director of Development,200000,Leaders - entrepreneurs,Liberal Arts Colleges
Wake Forest University,NC,Winston-Salem,Baccalaureate,Private Not-for-Profit,10000,5300,Liberal arts - business - law,Director of Development,300000,Business leaders - lawyers - entrepreneurs,Liberal Arts Colleges
Davidson College,NC,Davidson,Baccalaureate,Private Not-for-Profit,9000,1800,Liberal arts,Director of Development,250000,Leaders - entrepreneurs,Liberal Arts Colleges
College of Charleston,SC,Charleston,Baccalaureate,Public,12000,11000,Liberal arts - sciences,Director of Development,250000,Leaders - entrepreneurs - scientists,Liberal Arts Colleges
University of Richmond,VA,Richmond,Baccalaureate,Private Not-for-Profit,10000,4000,Liberal arts - business,Director of Development,300000,Business leaders - entrepreneurs,Liberal Arts Colleges
